word,reviewed,unreviewed,rowwise_total,norm_reviewed,norm_unreviewed,norm_diff,norm_total
cheap,15.0,17.0,32.0,0.29,0.69,-0.39999999999999997,0.42
relaxing,25.0,7.0,32.0,0.49,0.28,0.20999999999999996,0.42
建兴酒家,32.0,0.0,32.0,0.62,0.0,0.62,0.42
chidlom,23.0,9.0,32.0,0.45,0.37,0.08000000000000002,0.42
thailand,13.0,18.0,31.0,0.25,0.73,-0.48,0.41
breezy,31.0,0.0,31.0,0.61,0.0,0.61,0.41
ac,23.0,8.0,31.0,0.45,0.32,0.13,0.41
capsule,29.0,2.0,31.0,0.57,0.08,0.48999999999999994,0.41
punnawithi,23.0,8.0,31.0,0.45,0.32,0.13,0.41
ram,22.0,9.0,31.0,0.43,0.37,0.06,0.41
khanong,16.0,14.0,30.0,0.31,0.57,-0.25999999999999995,0.4
guests,20.0,10.0,30.0,0.39,0.41,-0.019999999999999962,0.4
canal,27.0,3.0,30.0,0.53,0.12,0.41000000000000003,0.4
r,19.0,11.0,30.0,0.37,0.45,-0.08000000000000002,0.4
warm,22.0,8.0,30.0,0.43,0.32,0.10999999999999999,0.4
saphan,24.0,6.0,30.0,0.47,0.24,0.22999999999999998,0.4
premium,21.0,8.0,29.0,0.41,0.32,0.08999999999999997,0.38
infinite,6.0,23.0,29.0,0.12,0.93,-0.81,0.38
special,20.0,9.0,29.0,0.39,0.37,0.020000000000000018,0.38
size,16.0,13.0,29.0,0.31,0.53,-0.22000000000000003,0.38
stationppl,29.0,0.0,29.0,0.57,0.0,0.57,0.38
km,20.0,9.0,29.0,0.39,0.37,0.020000000000000018,0.38
happy,15.0,14.0,29.0,0.29,0.57,-0.27999999999999997,0.38
located,19.0,9.0,28.0,0.37,0.37,0.0,0.37
premier,6.0,22.0,28.0,0.12,0.89,-0.77,0.37
shower,19.0,9.0,28.0,0.37,0.37,0.0,0.37
star,22.0,6.0,28.0,0.43,0.24,0.19,0.37
day,25.0,3.0,28.0,0.49,0.12,0.37,0.37
taksin,22.0,6.0,28.0,0.43,0.24,0.19,0.37
terrace,18.0,10.0,28.0,0.35,0.41,-0.06,0.37
feel,15.0,13.0,28.0,0.29,0.53,-0.24000000000000005,0.37
